team_long_name,team_fifa_api_id,OVA,ATT,MID,DEF,year
Valencia CF,461,79,80,79,79,2017
RCD Espanyol,452,78,78,77,77,2017
Racing Santander,456,NA,NA,NA,NA,2017
Real Sporting de Gijón,459,74,72,74,74,2017
Real Betis Balompié,449,77,79,77,76,2017
RC Deportivo de La Coruña,242,76,76,76,77,2017
CD Numancia,477,69,69,69,68,2017
Atlético Madrid,240,83,84,82,84,2017
Athletic Club de Bilbao,448,79,80,80,80,2017
CA Osasuna,479,73,74,73,73,2017
FC Barcelona,241,85,92,86,83,2017
Sevilla FC,481,81,79,81,79,2017
Real Valladolid,462,71,71,71,69,2017
Málaga CF,573,77,76,77,76,2017
RCD Mallorca,453,70,68,71,71,2017
Real Madrid CF,243,86,88,86,86,2017
RC Recreativo,571,NA,NA,NA,NA,2017
Getafe CF,1860,72,72,72,73,2017
Villarreal CF,483,80,79,80,80,2017
UD Almeria,1861,71,73,69,73,2017
Real Zaragoza,244,71,72,71,70,2017
Xerez Club Deportivo,1742,NA,NA,NA,NA,2017
CD Tenerife,260,69,71,70,69,2017
Levante UD,1853,73,75,74,72,2017
Hércules Club de Fútbol,100879,NA,NA,NA,NA,2017
Real Sociedad,457,78,78,77,76,2017
Granada CF,110832,74,72,75,74,2017
Rayo Vallecano,480,73,73,73,72,2017
RC Celta de Vigo,450,78,79,79,78,2017
Elche CF,468,69,69,69,69,2017
SD Eibar,467,76,75,76,76,2017
Córdoba CF,1867,69,70,69,69,2017
UD Las Palmas,472,77,75,78,76,2017
CD Leganés,100888,74,73,75,74,2017
Deportivo Alavés,463,75,76,75,74,2017
Valencia CF,461,80,79,80,79,2016
RCD Espanyol,452,75,76,75,74,2016
Racing Santander,456,NA,NA,NA,NA,2016
Real Sporting de Gijón,459,73,73,74,73,2016
Real Betis Balompié,449,76,77,75,75,2016
RC Deportivo de La Coruña,242,75,79,74,74,2016
CD Numancia,477,66,66,66,66,2016
Atlético Madrid,240,81,81,80,81,2016
Athletic Club de Bilbao,448,79,78,78,78,2016
CA Osasuna,479,68,67,68,68,2016
FC Barcelona,241,84,91,85,82,2016
Sevilla FC,481,79,79,80,80,2016
Real Valladolid,462,71,71,71,71,2016
Málaga CF,573,76,75,76,75,2016
RCD Mallorca,453,69,68,70,68,2016
Real Madrid CF,243,84,86,86,83,2016
RC Recreativo,571,NA,NA,NA,NA,2016
Getafe CF,1860,74,73,75,74,2016
Villarreal CF,483,79,79,79,79,2016
UD Almeria,1861,71,69,67,72,2016
Real Zaragoza,244,70,69,70,70,2016
Xerez Club Deportivo,1742,NA,NA,NA,NA,2016
CD Tenerife,260,68,67,69,67,2016
Levante UD,1853,75,76,75,73,2016
Hércules Club de Fútbol,100879,NA,NA,NA,NA,2016
Real Sociedad,457,77,77,77,76,2016
Granada CF,110832,74,73,73,74,2016
Rayo Vallecano,480,75,75,75,74,2016
RC Celta de Vigo,450,76,77,76,76,2016
Elche CF,468,68,68,68,67,2016
SD Eibar,467,73,74,73,72,2016
Córdoba CF,1867,70,70,68,71,2016
UD Las Palmas,472,72,73,71,70,2016
CD Leganés,100888,69,67,69,68,2016
Deportivo Alavés,463,68,69,67,69,2016
Valencia CF,461,79,81,79,77,2015
RCD Espanyol,452,73,76,73,72,2015
Racing Santander,456,64,64,64,63,2015
Real Sporting de Gijón,459,68,63,67,70,2015
Real Betis Balompié,449,71,73,71,68,2015
RC Deportivo de La Coruña,242,73,71,72,72,2015
CD Numancia,477,65,65,66,64,2015
Atlético Madrid,240,80,81,78,79,2015
Athletic Club de Bilbao,448,77,77,77,77,2015
CA Osasuna,479,69,68,70,68,2015
FC Barcelona,241,84,88,85,81,2015
Sevilla FC,481,78,79,76,77,2015
Real Valladolid,462,72,73,71,71,2015
Málaga CF,573,74,74,73,74,2015
RCD Mallorca,453,68,67,70,66,2015
Real Madrid CF,243,84,86,83,81,2015
RC Recreativo,571,65,60,66,63,2015
Getafe CF,1860,73,72,73,69,2015
Villarreal CF,483,76,78,76,74,2015
UD Almeria,1861,72,73,70,71,2015
Real Zaragoza,244,68,70,67,67,2015
Xerez Club Deportivo,1742,NA,NA,NA,NA,2015
CD Tenerife,260,66,66,66,65,2015
Levante UD,1853,72,73,71,73,2015
Hércules Club de Fútbol,100879,NA,NA,NA,NA,2015
Real Sociedad,457,76,78,76,76,2015
Granada CF,110832,73,72,74,72,2015
Rayo Vallecano,480,74,75,73,75,2015
RC Celta de Vigo,450,74,75,74,73,2015
Elche CF,468,72,72,72,72,2015
SD Eibar,467,72,72,72,72,2015
Córdoba CF,1867,71,72,71,70,2015
UD Las Palmas,472,69,73,70,67,2015
CD Leganés,100888,65,66,64,64,2015
Deportivo Alavés,463,66,65,66,65,2015
Valencia CF,461,77,76,77,76,2014
RCD Espanyol,452,73,72,73,73,2014
Racing Santander,456,NA,NA,NA,NA,2014
Real Sporting de Gijón,459,68,69,67,68,2014
Real Betis Balompié,449,74,74,72,73,2014
RC Deportivo de La Coruña,242,69,69,69,69,2014
CD Numancia,477,65,65,64,64,2014
Atlético Madrid,240,81,81,80,81,2014
Athletic Club de Bilbao,448,76,77,78,75,2014
CA Osasuna,479,72,71,71,73,2014
FC Barcelona,241,84,84,86,84,2014
Sevilla FC,481,76,78,75,75,2014
Real Valladolid,462,72,73,72,71,2014
Málaga CF,573,76,75,73,76,2014
RCD Mallorca,453,69,70,70,68,2014
Real Madrid CF,243,84,88,83,82,2014
RC Recreativo,571,67,67,65,64,2014
Getafe CF,1860,74,73,73,74,2014
Villarreal CF,483,73,75,74,72,2014
UD Almeria,1861,70,73,69,70,2014
Real Zaragoza,244,70,70,69,68,2014
Xerez Club Deportivo,1742,NA,NA,NA,NA,2014
CD Tenerife,260,64,63,64,65,2014
Levante UD,1853,74,72,73,73,2014
Hércules Club de Fútbol,100879,66,67,66,66,2014
Real Sociedad,457,77,80,76,76,2014
Granada CF,110832,73,73,72,71,2014
Rayo Vallecano,480,73,71,73,73,2014
RC Celta de Vigo,450,73,74,72,71,2014
Elche CF,468,72,71,72,72,2014
SD Eibar,467,64,63,64,63,2014
Córdoba CF,1867,65,67,65,64,2014
UD Las Palmas,472,69,67,70,67,2014
CD Leganés,100888,NA,NA,NA,NA,2014
Deportivo Alavés,463,65,66,64,65,2014
Valencia CF,461,79,80,79,78,2013
RCD Espanyol,452,74,75,73,74,2013
Racing Santander,456,64,65,64,64,2013
Real Sporting de Gijón,459,69,67,70,69,2013
Real Betis Balompié,449,75,75,76,74,2013
RC Deportivo de La Coruña,242,73,73,72,72,2013
CD Numancia,477,65,65,64,64,2013
Atlético Madrid,240,80,83,79,80,2013
Athletic Club de Bilbao,448,76,79,75,76,2013
CA Osasuna,479,72,70,71,74,2013
FC Barcelona,241,85,86,84,84,2013
Sevilla FC,481,76,78,74,74,2013
Real Valladolid,462,73,73,74,73,2013
Málaga CF,573,78,76,79,77,2013
RCD Mallorca,453,72,72,73,71,2013
Real Madrid CF,243,84,84,85,82,2013
RC Recreativo,571,66,67,65,64,2013
Getafe CF,1860,75,74,75,74,2013
Villarreal CF,483,72,71,73,71,2013
UD Almeria,1861,68,64,68,68,2013
Real Zaragoza,244,72,76,71,72,2013
Xerez Club Deportivo,1742,62,61,62,63,2013
CD Tenerife,260,64,63,64,65,2013
Levante UD,1853,74,72,74,74,2013
Hércules Club de Fútbol,100879,65,67,62,66,2013
Real Sociedad,457,76,77,74,75,2013
Granada CF,110832,73,73,73,72,2013
Rayo Vallecano,480,73,74,74,72,2013
RC Celta de Vigo,450,72,71,73,71,2013
Elche CF,468,71,69,71,70,2013
SD Eibar,467,NA,NA,NA,NA,2013
Córdoba CF,1867,66,66,65,65,2013
UD Las Palmas,472,67,67,67,67,2013
CD Leganés,100888,NA,NA,NA,NA,2013
Deportivo Alavés,463,NA,NA,NA,NA,2013
Valencia CF,461,79,74,72,74,2012
RCD Espanyol,452,75,70,72,69,2012
Racing Santander,456,72,64,68,67,2012
Real Sporting de Gijón,459,73,69,69,68,2012
Real Betis Balompié,449,73,69,72,69,2012
RC Deportivo de La Coruña,242,73,71,69,68,2012
CD Numancia,477,66,62,64,64,2012
Atlético Madrid,240,79,70,72,74,2012
Athletic Club de Bilbao,448,77,70,71,70,2012
CA Osasuna,479,73,67,69,69,2012
FC Barcelona,241,86,81,84,80,2012
Sevilla FC,481,78,75,72,71,2012
Real Valladolid,462,69,69,65,67,2012
Málaga CF,573,78,67,74,73,2012
RCD Mallorca,453,73,66,69,68,2012
Real Madrid CF,243,85,78,79,76,2012
RC Recreativo,571,64,63,63,62,2012
Getafe CF,1860,75,67,72,68,2012
Villarreal CF,483,77,77,76,74,2012
UD Almeria,1861,69,63,66,65,2012
Real Zaragoza,244,73,69,66,68,2012
Xerez Club Deportivo,1742,66,64,64,63,2012
CD Tenerife,260,NA,NA,NA,NA,2012
Levante UD,1853,74,66,68,69,2012
Hércules Club de Fútbol,100879,70,66,68,64,2012
Real Sociedad,457,73,67,66,70,2012
Granada CF,110832,73,66,68,67,2012
Rayo Vallecano,480,72,68,68,66,2012
RC Celta de Vigo,450,69,67,66,66,2012
Elche CF,468,68,65,65,66,2012
SD Eibar,467,NA,NA,NA,NA,2012
Córdoba CF,1867,67,62,65,63,2012
UD Las Palmas,472,66,63,64,63,2012
CD Leganés,100888,NA,NA,NA,NA,2012
Deportivo Alavés,463,NA,NA,NA,NA,2012
